"t","longitude","latitude","x","y","label"
"1","2021-11-14 15:00:10",12.31017,56.127777,705723.070725276,6225237.28619866,"01-sailing"
"2","2021-11-14 15:00:13",12.310137,56.127788,705720.961925142,6225238.41127394,"01-sailing"
"3","2021-11-14 15:00:16",12.310103,56.1278,705718.785662287,6225239.6445963,"01-sailing"
"4","2021-11-14 15:00:18",12.310067,56.127815,705716.469131888,6225241.20564117,"01-sailing"
"5","2021-11-14 15:00:22",12.310025,56.12783,705713.77986822,6225242.74878861,"01-sailing"
"6","2021-11-14 15:00:25",12.309978,56.127845,705710.779994172,6225244.2770224,"01-sailing"
"7","2021-11-14 15:00:29",12.309912,56.127867,705706.562408718,6225246.5271858,"01-sailing"
"8","2021-11-14 15:00:32",12.309857,56.127885,705703.049537963,6225248.36524866,"01-sailing"
"9","2021-11-14 15:00:40",12.309693,56.127937,705692.583747983,6225253.65997841,"01-sailing"
"10","2021-11-14 15:00:42",12.309627,56.127955,705688.387544122,6225255.46524229,"01-sailing"
"11","2021-11-14 15:00:46",12.30956,56.127977,705684.107859894,6225257.71244458,"01-sailing"
"12","2021-11-14 15:00:48",12.30949,56.127997,705679.652494267,6225259.72824468,"01-sailing"
"13","2021-11-14 15:00:59",12.309268,56.12807,705665.471538109,6225267.18586383,"01-sailing"
"14","2021-11-14 15:01:10",12.309075,56.12814,705653.108190184,6225274.39632538,"01-sailing"
"15","2021-11-14 15:01:18",12.308985,56.128173,705647.341003964,6225277.7984946,"01-sailing"
"16","2021-11-14 15:01:30",12.30892,56.128195,705643.185608679,6225280.05170115,"01-sailing"
"17","2021-11-14 15:01:39",12.308877,56.12821,705640.434275164,6225281.59191149,"01-sailing"
"18","2021-11-14 15:01:48",12.30886,56.128215,705639.351506041,6225282.09736322,"01-sailing"
"19","2021-11-14 15:01:59",12.308863,56.128217,705639.527193062,6225282.32876791,"01-sailing"
"20","2021-11-14 15:02:10",12.308867,56.128217,705639.775680651,6225282.34069607,"01-sailing"
