n,id,t,x,y,label
"1","c827a6",2020-06-01 05:52:50,19206847.602755833,-5385895.710376742,"01-sailing"
"2","c827a6",2020-06-01 05:53:00,19207451.98856088,-5385179.374240952,"01-sailing"
"3","c827a6",2020-06-01 05:53:10,19208093.788725283,-5384445.597761948,"01-sailing"
"4","c827a6",2020-06-01 05:53:20,19208566.970328957,-5383717.234758607,"01-sailing"
"5","c827a6",2020-06-01 05:53:30,19208881.183229282,-5382862.1953306245,"01-sailing"
"6","c827a6",2020-06-01 05:53:40,19209273.10287597,-5382003.665138014,"01-sailing"
"7","c827a6",2020-06-01 05:53:50,19209695.326460782,-5381097.0293185925,"01-sailing"
"8","c827a6",2020-06-01 05:54:00,19210217.94242162,-5379948.989092639,"01-sailing"
"9","c827a6",2020-06-01 05:54:10,19210708.561486892,-5378861.15878003,"01-sailing"
"10","c827a6",2020-06-01 05:54:20,19211312.947291937,-5377541.897059745,"01-sailing"
"11","c827a6",2020-06-01 05:54:30,19211915.640139543,-5376272.647487638,"01-sailing"
"12","c827a6",2020-06-01 05:54:40,19212585.37410166,-5374845.796335603,"01-sailing"
"13","c827a6",2020-06-01 05:54:50,19213296.754816733,-5373318.714121842,"01-sailing"
"14","c827a6",2020-06-01 05:55:00,19214026.75806361,-5371736.020930237,"01-sailing"
"15","c827a6",2020-06-01 05:55:10,19214789.943276256,-5370107.014272763,"01-sailing"
"16","c827a6",2020-06-01 05:55:20,19215555.498629313,-5368513.224597236,"01-sailing"
"17","c827a6",2020-06-01 05:55:30,19216407.22551592,-5366724.057243459,"01-sailing"
"18","c827a6",2020-06-01 05:55:40,19217214.596917678,-5365004.239042813,"01-sailing"
"19","c827a6",2020-06-01 05:55:50,19218074.957887214,-5363161.480313487,"01-sailing"
"20","c827a6",2020-06-01 05:56:00,19218857.104223154,-5361333.096103499,"01-sailing"
"21","c827a6",2020-06-01 05:56:10,19219561.0359255,-5359196.934097927,"01-sailing"
"22","c827a6",2020-06-01 05:56:20,19220061.643439647,-5357427.359944156,"01-sailing"
"23","c827a6",2020-06-01 05:56:30,19220738.657118745,-5355056.587126408,"01-sailing"
"24","c827a6",2020-06-01 05:56:40,19221335.593911067,-5353070.72900388,"01-sailing"
"25","c827a6",2020-06-01 05:56:50,19222042.572936807,-5350804.118263526,"01-sailing"
"26","c827a6",2020-06-01 05:57:00,19222696.731690504,-5348733.328245477,"01-sailing"
"27","c827a6",2020-06-01 05:57:10,19223373.91466534,-5346610.724819822,"01-sailing"
"28","c827a6",2020-06-01 05:57:20,19224043.648627456,-5344527.120123606,"01-sailing"
"29","c827a6",2020-06-01 05:57:30,19224800.73919333,-5342180.956036027,"01-sailing"
"30","c827a6",2020-06-01 05:57:40,19225356.029232703,-5340461.758748798,"01-sailing"
"31","c827a6",2020-06-01 05:57:50,19226089.24909871,-5338200.937946596,"01-sailing"
"32","c827a6",2020-06-01 05:58:00,19226860.89909854,-5335813.742524417,"01-sailing"
"33","c827a6",2020-06-01 05:58:10,19227559.751928575,-5333661.527720036,"01-sailing"
"34","c827a6",2020-06-01 05:58:20,19228292.6332031,-5331373.597963514,"01-sailing"
"35","c827a6",2020-06-01 05:58:30,19228975.23364174,-5329251.275772395,"01-sailing"
"36","c827a6",2020-06-01 05:58:40,19229707.607029032,-5326982.879481076,"01-sailing"
"37","c827a6",2020-06-01 05:58:50,19230391.561833616,-5324873.144655887,"01-sailing"
"38","c827a6",2020-06-01 05:59:00,19231122.58085496,-5322608.17633653,"01-sailing"
"39","c827a6",2020-06-01 05:59:10,19231847.843821015,-5320348.366997039,"01-sailing"
"40","c827a6",2020-06-01 05:59:20,19232558.885944597,-5318144.881829477,"01-sailing"
"41","c827a6",2020-06-01 05:59:30,19233281.609474495,-5315908.7172553325,"01-sailing"
"42","c827a6",2020-06-01 05:59:40,19234038.700040367,-5313562.648838874,"01-sailing"
"43","c827a6",2020-06-01 05:59:50,19234752.112304363,-5311351.787808878,"01-sailing"
"44","c827a6",2020-06-01 06:00:10,19236229.89485121,-5306747.505009708,"01-sailing"
"45","c827a6",2020-06-01 06:00:20,19236981.567953285,-5304412.700841782,"01-sailing"
"46","c827a6",2020-06-01 06:00:30,19237765.915133893,-5301996.8435591385,"01-sailing"
"47","c827a6",2020-06-01 06:00:40,19238538.75020393,-5299596.233887905,"01-sailing"
"48","c827a6",2020-06-01 06:00:50,19239285.344433695,-5297279.36565981,"01-sailing"
"49","c827a6",2020-06-01 06:01:00,19240059.02598245,-5294893.049137307,"01-sailing"
"50","c827a6",2020-06-01 06:01:10,19240903.47315207,-5292502.743922634,"01-sailing"
"51","c827a6",2020-06-01 06:01:20,19241777.039189618,-5290226.155991234,"01-sailing"
"52","c827a6",2020-06-01 06:01:30,19242657.884944145,-5287921.850371701,"01-sailing"
"53","c827a6",2020-06-01 06:01:40,19243611.52786846,-5285420.2698623,"01-sailing"
"54","c827a6",2020-06-01 06:01:50,19244499.653339967,-5283081.824629687,"01-sailing"
"55","c827a6",2020-06-01 06:02:00,19245421.637960214,-5280645.092303228,"01-sailing"
"56","c827a6",2020-06-01 06:02:10,19246308.663009383,-5278306.777142856,"01-sailing"
"57","c827a6",2020-06-01 06:02:20,19247225.907348804,-5275897.988154499,"01-sailing"
"58","c827a6",2020-06-01 06:02:30,19248198.742254253,-5273323.280074276,"01-sailing"
"59","c827a6",2020-06-01 06:02:40,19249097.725739136,-5270946.809260412,"01-sailing"
"60","c827a6",2020-06-01 06:02:50,19250043.411763504,-5268449.745748562,"01-sailing"
"61","c827a6",2020-06-01 06:03:00,19250985.219376285,-5265977.788851626,"01-sailing"
"62","c827a6",2020-06-01 06:03:10,19251927.673391003,-5263499.902198993,"01-sailing"
"63","c827a6",2020-06-01 06:03:20,19252887.580257837,-5260976.625401383,"01-sailing"
"64","c827a6",2020-06-01 06:03:30,19253804.82459726,-5258552.661410143,"01-sailing"
"65","c827a6",2020-06-01 06:03:40,19254807.070790544,-5255908.739165461,"01-sailing"
"66","c827a6",2020-06-01 06:03:50,19255696.19664599,-5253565.768324621,"01-sailing"
"67","c827a6",2020-06-01 06:04:00,19256676.303573154,-5250964.780247751,"02-fishing"
"68","c827a6",2020-06-01 06:04:10,19257630.231222138,-5248426.678072072,"02-fishing"
"69","c827a6",2020-06-01 06:04:20,19258594.178101037,-5245885.037495536,"02-fishing"
"70","c827a6",2020-06-01 06:04:30,19259525.320081964,-5243422.278318081,"02-fishing"
"71","c827a6",2020-06-01 06:04:40,19260517.062243883,-5240793.613728622,"02-fishing"
"72","c827a6",2020-06-01 06:04:50,19261450.143430598,-5238325.855813577,"02-fishing"
"73","c827a6",2020-06-01 06:05:00,19262401.32387138,-5235802.046071031,"02-fishing"
"74","c827a6",2020-06-01 06:05:10,19263402.76206225,-5233135.451313445,"02-fishing"
"75","c827a6",2020-06-01 06:05:20,19264321.137605052,-5230693.695083673,"02-fishing"
"76","c827a6",2020-06-01 06:05:30,19265278.943665612,-5228155.068981024,"02-fishing"
"77","c827a6",2020-06-01 06:05:40,19266272.62503332,-5225517.4277392365,"02-fishing"
"78","c827a6",2020-06-01 06:05:50,19267238.511118013,-5222949.541789413,"02-fishing"
"79","c827a6",2020-06-01 06:06:00,19268197.448381957,-5220403.0532917995,"02-fishing"
"80","c827a6",2020-06-01 06:06:10,19269156.385645896,-5217857.250108387,"02-fishing"
"81","c827a6",2020-06-01 06:06:20,19270150.067013603,-5215229.375058385,"02-fishing"
"82","c827a6",2020-06-01 06:06:30,19271111.58988527,-5212664.396353134,"02-fishing"
"83","c827a6",2020-06-01 06:06:40,19272114.15927952,-5210007.471263824,"02-fishing"
"84","c827a6",2020-06-01 06:06:50,19273066.955725126,-5207470.417915694,"02-fishing"
"85","c827a6",2020-06-01 06:07:00,19273998.42090702,-5204983.083171288,"02-fishing"
"86","c827a6",2020-06-01 06:07:10,19275007.29272009,-5202300.646249291,"02-fishing"
"87","c827a6",2020-06-01 06:07:20,19275939.565904398,-5199814.317312769,"02-fishing"
"88","c827a6",2020-06-01 06:07:30,19276949.245719887,-5197125.992012882,"02-fishing"
"89","c827a6",2020-06-01 06:07:40,19277966.03595661,-5194431.430354315,"02-fishing"
"90","c827a6",2020-06-01 06:07:50,19278954.38450839,-5191800.596630896,"02-fishing"
"91","c827a6",2020-06-01 06:08:00,19279996.546020884,-5189038.772447699,"02-fishing"
"92","c827a6",2020-06-01 06:08:10,19280945.302454423,-5186520.138782533,"02-fishing"
"93","c827a6",2020-06-01 06:08:20,19282011.704039313,-5183696.589842243,"02-fishing"
"94","c827a6",2020-06-01 06:08:30,19282985.99334911,-5181102.852033037,"02-fishing"
"95","c827a6",2020-06-01 06:08:40,19284009.894007064,-5178363.928654055,"02-fishing"
"96","c827a6",2020-06-01 06:08:50,19285027.4922462,-5175637.433880554,"02-fishing"
"97","c827a6",2020-06-01 06:09:00,19286000.8119531,-5173042.052561195,"02-fishing"
"98","c827a6",2020-06-01 06:09:10,19287017.602189824,-5170326.3888782235,"02-fishing"
"99","c827a6",2020-06-01 06:09:20,19288055.723690253,-5167562.6526428815,"02-fishing"
"100","c827a6",2020-06-01 06:09:30,19288974.422434017,-5165108.299140061,"02-fishing"
"101","c827a6",2020-06-01 06:09:40,19290037.592009258,-5162275.5198696945,"02-fishing"
"102","c827a6",2020-06-01 06:09:50,19291010.426914707,-5159683.54443511,"02-fishing"
"103","c827a6",2020-06-01 06:10:00,19292045.80120693,-5156893.501383881,"02-fishing"
"104","c827a6",2020-06-01 06:10:10,19293046.431395393,-5154207.056910314,"02-fishing"
"105","c827a6",2020-06-01 06:10:20,19294012.317480084,-5151589.871753955,"02-fishing"
"106","c827a6",2020-06-01 06:10:30,19295047.691772312,-5148822.739345793,"02-fishing"
"107","c827a6",2020-06-01 06:10:40,19296097.610107977,-5146038.53859179,"02-fishing"
"108","c827a6",2020-06-01 06:10:50,19297057.516974814,-5143504.565414591,"02-fishing"
"109","c827a6",2020-06-01 06:11:00,19298131.190581422,-5140630.294122616,"02-fishing"
"110","c827a6",2020-06-01 06:11:10,19299169.31208186,-5137819.494406797,"02-fishing"
"111","c827a6",2020-06-01 06:11:20,19300150.550212402,-5135197.290330233,"02-fishing"
"112","c827a6",2020-06-01 06:11:30,19301181.561291598,-5132429.801738617,"02-fishing"
"113","c827a6",2020-06-01 06:11:40,19302204.97714811,-5129673.423317801,"02-fishing"
"114","c827a6",2020-06-01 06:11:50,19303302.890827112,-5126721.314326465,"02-fishing"
"115","c827a6",2020-06-01 06:12:00,19304310.14663536,-5124041.83119022,"02-fishing"
"116","c827a6",2020-06-01 06:12:10,19305355.378557026,-5121256.732184062,"02-fishing"
"117","c827a6",2020-06-01 06:12:20,19306381.218420777,-5118505.303053469,"02-fishing"
"118","c827a6",2020-06-01 06:12:30,19307416.592713006,-5115734.073718749,"02-fishing"
"119","c827a6",2020-06-01 06:12:40,19308458.91582598,-5112936.3542093625,"02-fishing"
"120","c827a6",2020-06-01 06:12:50,19309522.085401226,-5110078.064183598,"02-fishing"
"121","c827a6",2020-06-01 06:13:00,19310564.408514205,-5107261.537300705,"02-fishing"
"122","c827a6",2020-06-01 06:13:10,19311562.776295908,-5104590.836507457,"02-fishing"
"123","c827a6",2020-06-01 06:13:20,19312614.310636397,-5101760.441057695,"02-fishing"
"124","c827a6",2020-06-01 06:13:30,19313724.3443516,-5098762.5246728035,"02-fishing"
"125","c827a6",2020-06-01 06:13:40,19314747.59860763,-5095990.062219949,"02-fishing"
"126","c827a6",2020-06-01 06:13:50,19315789.92172061,-5093204.897079855,"02-fishing"
"127","c827a6",2020-06-01 06:14:00,19316831.59843166,-5090390.081100654,"02-fishing"
"128","c827a6",2020-06-01 06:14:10,19317825.926201295,-5087698.22829552,"02-fishing"
"129","c827a6",2020-06-01 06:14:20,19318889.095776536,-5084813.420162625,"02-fishing"
"130","c827a6",2020-06-01 06:14:30,19319917.52124801,-5082024.917485535,"02-fishing"
"131","c827a6",2020-06-01 06:14:40,19320998.305275854,-5079113.691325373,"02-fishing"
