"id","t","x","y","label"
"1","219004343-2",2021-11-16 00:58:43,557526.084678112,6384115.12716181,"01-sailing"
"2","219004343-2",2021-11-16 00:59:12,557457.569388099,6384191.4270756,"01-sailing"
"3","219004343-2",2021-11-16 00:59:44,557385.217321829,6384268.67588982,"01-sailing"
"4","219004343-2",2021-11-16 01:00:13,557331.836037807,6384353.09726121,"01-sailing"
"5","219004343-2",2021-11-16 01:00:44,557272.526051417,6384446.89960586,"01-sailing"
"6","219004343-2",2021-11-16 01:01:15,557218.102037868,6384537.76548877,"01-sailing"
"7","219004343-2",2021-11-16 01:02:12,557068.141468588,6384562.04036504,"01-sailing"
"8","219004343-2",2021-11-16 01:02:43,556983.471015904,6384525.77717908,"01-sailing"
"9","219004343-2",2021-11-16 01:03:13,556908.350487381,6384490.42918115,"01-sailing"
"10","219004343-2",2021-11-16 01:03:42,556830.852099291,6384454.04720718,"01-sailing"
"11","219004343-2",2021-11-16 01:04:16,556745.519337015,6384413.54882912,"01-sailing"
"12","219004343-2",2021-11-16 01:04:46,556668.332444404,6384376.06096729,"01-sailing"
"13","219004343-2",2021-11-16 01:05:13,556598.864123686,6384342.2452324,"01-sailing"
"14","219004343-2",2021-11-16 01:05:44,556522.407274756,6384303.65698045,"01-sailing"
"15","219004343-2",2021-11-16 01:06:13,556446.132939174,6384264.73871676,"01-sailing"
"16","219004343-2",2021-11-16 01:06:42,556372.636878426,6384227.97601305,"01-sailing"
"17","219004343-2",2021-11-16 01:07:13,556290.117952769,6384186.52445088,"01-sailing"
"18","219004343-2",2021-11-16 01:07:43,556209.240056527,6384147.32416367,"01-sailing"
"19","219004343-2",2021-11-16 01:08:13,556130.267101688,6384108.59724689,"01-sailing"
"20","219004343-2",2021-11-16 01:08:44,556050.869646368,6384070.20005503,"01-sailing"
"21","219004343-2",2021-11-16 01:09:14,555970.633907618,6384031.79288037,"01-sailing"
"22","219004343-2",2021-11-16 01:09:43,555894.916323179,6383995.11969488,"01-sailing"
"23","219004343-2",2021-11-16 01:10:14,555812.939663833,6383957.02573236,"01-sailing"
"24","219004343-2",2021-11-16 01:10:43,555739.938255552,6383922.61968594,"01-sailing"
"25","219004343-2",2021-11-16 01:11:16,555650.949733453,6383881.20382988,"01-sailing"
"26","219004343-2",2021-11-16 01:11:42,555581.449410897,6383848.5188349,"01-sailing"
"27","219004343-2",2021-11-16 01:12:14,555501.555987816,6383810.68251175,"01-sailing"
"28","219004343-2",2021-11-16 01:12:43,555422.959415585,6383774.09025632,"01-sailing"
"29","219004343-2",2021-11-16 01:13:13,555343.231782273,6383737.0387592,"01-sailing"
"30","219004343-2",2021-11-16 01:13:43,555263.809175697,6383699.43631195,"01-sailing"
"31","219004343-2",2021-11-16 01:14:13,555186.577167415,6383663.3126746,"01-sailing"
"32","219004343-2",2021-11-16 01:14:44,555104.837023186,6383624.4571277,"01-sailing"
"33","219004343-2",2021-11-16 01:15:13,555024.996144517,6383586.51974251,"01-sailing"
"34","219004343-2",2021-11-16 01:15:45,554939.442202835,6383546.50246056,"01-sailing"
"35","219004343-2",2021-11-16 01:16:14,554865.418983345,6383511.43057178,"01-sailing"
"36","219004343-2",2021-11-16 01:16:43,554786.711011719,6383473.40194741,"01-sailing"
"37","219004343-2",2021-11-16 01:17:13,554708.880268674,6383436.72278999,"01-sailing"
"38","219004343-2",2021-11-16 01:17:45,554625.596290185,6383396.40884372,"01-sailing"
"39","219004343-2",2021-11-16 01:18:13,554552.636263199,6383361.91378638,"01-sailing"
"40","219004343-2",2021-11-16 01:18:43,554474.293178227,6383323.00552678,"01-sailing"
"41","219004343-2",2021-11-16 01:19:13,554393.727710035,6383284.73705311,"01-sailing"
"42","219004343-2",2021-11-16 01:19:43,554316.203701882,6383246.95628588,"01-sailing"
"43","219004343-2",2021-11-16 01:20:16,554229.353288656,6383204.48742918,"01-sailing"
"44","219004343-2",2021-11-16 01:20:43,554158.656827955,6383170.14118752,"01-sailing"
"45","219004343-2",2021-11-16 01:21:14,554072.801693857,6383129.02510897,"01-sailing"
"46","219004343-2",2021-11-16 01:21:43,553994.083498925,6383090.67800202,"01-sailing"
"47","219004343-2",2021-11-16 01:22:14,553912.094853423,6383050.84158057,"01-sailing"
"48","219004343-2",2021-11-16 01:22:42,553837.110647754,6383014.77398528,"01-sailing"
