"id","t","x","y","label"
"1","211477000-3",2021-11-15 15:31:25,705762.672599677,6225219.12068896,"01-sailing"
"2","211477000-3",2021-11-15 15:31:29,705763.154307919,6225225.94445989,"01-sailing"
"3","211477000-3",2021-11-15 15:31:32,705763.673410625,6225231.98962653,"01-sailing"
"4","211477000-3",2021-11-15 15:31:35,705764.533191345,6225238.72007152,"01-sailing"
"5","211477000-3",2021-11-15 15:31:39,705765.181254705,6225248.56195064,"01-sailing"
"6","211477000-3",2021-11-15 15:31:42,705765.86335639,6225256.39872048,"01-sailing"
"7","211477000-3",2021-11-15 15:31:45,705766.456618726,6225264.78865268,"01-sailing"
"8","211477000-3",2021-11-15 15:31:50,705767.884913138,6225279.12744297,"01-sailing"
"9","211477000-3",2021-11-15 15:31:52,705768.228313681,6225284.94120063,"01-sailing"
"10","211477000-3",2021-11-15 15:31:56,705769.080103504,6225297.02258475,"01-sailing"
"11","211477000-3",2021-11-15 15:31:59,705769.584509281,6225305.96568006,"01-sailing"
"12","211477000-3",2021-11-15 15:32:18,705772.990988334,6225368.56138422,"01-sailing"
"13","211477000-3",2021-11-15 15:32:29,705776.416489222,6225400.94534771,"01-sailing"
"14","211477000-3",2021-11-15 15:32:35,705779.529927535,6225420.38196621,"01-sailing"
"15","211477000-3",2021-11-15 15:32:39,705782.445596192,6225433.56587909,"01-sailing"
"16","211477000-3",2021-11-15 15:32:43,705786.511455081,6225446.13613511,"01-sailing"
"17","211477000-3",2021-11-15 15:32:45,705790.11105547,6225455.45090596,"01-sailing"
"18","211477000-3",2021-11-15 15:32:50,705795.124684181,6225467.73224803,"01-sailing"
"19","211477000-3",2021-11-15 15:32:53,705799.869106311,6225476.5446006,"01-sailing"
"20","211477000-3",2021-11-15 15:32:56,705806.389563314,6225488.56389616,"01-sailing"
"21","211477000-3",2021-11-15 15:32:59,705809.522867128,6225494.62319345,"01-sailing"
"22","211477000-3",2021-11-15 15:33:03,705815.784101442,6225506.85302478,"01-sailing"
"23","211477000-3",2021-11-15 15:33:06,705820.512396956,6225515.99908993,"01-sailing"
"24","211477000-3",2021-11-15 15:33:13,705833.826192086,6225540.83128955,"01-sailing"
"25","211477000-3",2021-11-15 15:33:15,705835.488652927,6225543.80981173,"01-sailing"
"26","211477000-3",2021-11-15 15:33:18,705842.235981842,6225556.2860235,"01-sailing"
"27","211477000-3",2021-11-15 15:33:29,705861.452505114,6225590.43236084,"01-sailing"
"28","211477000-3",2021-11-15 15:33:39,705876.406806564,6225618.68815549,"01-sailing"
"29","211477000-3",2021-11-15 15:33:50,705893.518637348,6225657.75039573,"01-sailing"
"30","211477000-3",2021-11-15 15:33:59,705904.712148307,6225683.93028382,"01-sailing"
"31","211477000-3",2021-11-15 15:34:18,705931.814948231,6225749.56079575,"01-sailing"
"32","211477000-3",2021-11-15 15:34:29,705946.274873489,6225785.4856978,"01-sailing"
"33","211477000-3",2021-11-15 15:34:39,705958.824678501,6225814.51815248,"01-sailing"
"34","211477000-3",2021-11-15 15:34:50,705974.749286489,6225853.6352361,"01-sailing"
"35","211477000-3",2021-11-15 15:34:59,705985.568988199,6225879.79743918,"01-sailing"
"36","211477000-3",2021-11-15 15:35:18,706012.938855686,6225944.99556167,"01-sailing"
"37","211477000-3",2021-11-15 15:35:29,706028.210079076,6225980.84838609,"01-sailing"
"38","211477000-3",2021-11-15 15:35:39,706040.810032384,6226010.10655632,"01-sailing"
"39","211477000-3",2021-11-15 15:35:50,706056.712548069,6226045.76691731,"01-sailing"
"40","211477000-3",2021-11-15 15:35:59,706069.890361182,6226075.94489906,"01-sailing"
"41","211477000-3",2021-11-15 15:36:18,706099.872450165,6226143.72217966,"01-sailing"
"42","211477000-3",2021-11-15 15:36:29,706114.274674257,6226178.19576462,"01-sailing"
"43","211477000-3",2021-11-15 15:36:39,706128.360741923,6226212.76568596,"01-sailing"
"44","211477000-3",2021-11-15 15:36:50,706143.285012197,6226250.60913541,"01-sailing"
"45","211477000-3",2021-11-15 15:36:59,706155.165743382,6226281.83990896,"01-sailing"
"46","211477000-3",2021-11-15 15:37:09,706168.117062533,6226316.68984871,"01-sailing"
"47","211477000-3",2021-11-15 15:37:19,706182.020043586,6226355.04175651,"01-sailing"
"48","211477000-3",2021-11-15 15:37:29,706193.765199801,6226386.48912985,"01-sailing"
"49","211477000-3",2021-11-15 15:37:39,706207.668807247,6226420.93914666,"01-sailing"
"50","211477000-3",2021-11-15 15:37:50,706221.622390088,6226459.51665013,"01-sailing"
"51","211477000-3",2021-11-15 15:37:52,706223.820514079,6226466.86915943,"01-sailing"
"52","211477000-3",2021-11-15 15:37:57,706227.832220723,6226485.68068134,"01-sailing"
"53","211477000-3",2021-11-15 15:37:59,706229.031286557,6226493.09656786,"01-sailing"
"54","211477000-3",2021-11-15 15:38:03,706230.345665731,6226512.33562738,"01-sailing"
"55","211477000-3",2021-11-15 15:38:06,706231.150661946,6226520.17848488,"01-sailing"
"56","211477000-3",2021-11-15 15:38:09,706232.027289791,6226531.70386302,"01-sailing"
"57","211477000-3",2021-11-15 15:38:12,706232.385650984,6226543.65022917,"01-sailing"
"58","211477000-3",2021-11-15 15:38:16,706232.888456211,6226559.05964912,"01-sailing"
"59","211477000-3",2021-11-15 15:38:19,706233.494029658,6226574.91996746,"01-sailing"
"60","211477000-3",2021-11-15 15:38:23,706233.738876879,6226586.63789428,"01-sailing"
"61","211477000-3",2021-11-15 15:38:26,706234.304948237,6226598.14831868,"01-sailing"
"62","211477000-3",2021-11-15 15:38:29,706234.663275739,6226610.09468601,"01-sailing"
"63","211477000-3",2021-11-15 15:39:00,706234.739589665,6226731.28474994,"01-sailing"
"64","211477000-3",2021-11-15 15:39:09,706234.604520066,6226766.39666095,"01-sailing"
"65","211477000-3",2021-11-15 15:39:19,706234.963791315,6226809.33647894,"01-sailing"
"66","211477000-3",2021-11-15 15:39:29,706235.201243408,6226844.46633944,"01-sailing"
"67","211477000-3",2021-11-15 15:39:39,706236.115164872,6226883.64232191,"01-sailing"
"68","211477000-3",2021-11-15 15:39:49,706237.260118371,6226927.06594706,"01-sailing"
"69","211477000-3",2021-11-15 15:40:00,706238.649264023,6226966.71077978,"01-sailing"
"70","211477000-3",2021-11-15 15:40:09,706239.723736967,6227002.54989835,"01-sailing"
"71","211477000-3",2021-11-15 15:40:19,706240.987315184,6227046.09074232,"01-sailing"
"72","211477000-3",2021-11-15 15:40:29,706241.745832434,6227082.02613725,"01-sailing"
