Description,Elevation,Heading,Heartbeat,Latitude,Longitude,Pressure,Speed,Temperature,Time
Position 1,137.0,0.0,0,50.85591,4.3693,0.0,0.0,0.0,05.08.22 06:51:08
Position 2,137.0,0.0,0,50.85593,4.36922,0.0,0.0,0.0,05.08.22 06:51:14
Position 3,137.0,0.0,0,50.85593,4.36917,0.0,0.0,0.0,05.08.22 06:51:17
Position 4,132.0,0.0,0,50.85581,4.36821,0.0,0.0,0.0,05.08.22 06:51:59
Position 5,132.0,0.0,0,50.8558,4.3682,0.0,0.0,0.0,05.08.22 06:52:02
Position 6,132.0,0.0,0,50.85579,4.36819,0.0,0.0,0.0,05.08.22 06:52:05
Position 7,131.0,0.0,0,50.85577,4.36818,0.0,0.0,0.0,05.08.22 06:52:08
Position 8,131.0,0.0,0,50.85574,4.36817,0.0,0.0,0.0,05.08.22 06:52:11
Position 9,130.0,0.0,0,50.85544,4.36784,0.0,0.0,0.0,05.08.22 06:52:32
Position 10,130.0,0.0,0,50.85546,4.36778,0.0,0.0,0.0,05.08.22 06:52:35
Position 11,129.0,0.0,0,50.8555,4.36771,0.0,0.0,0.0,05.08.22 06:52:38
Position 12,128.0,0.0,0,50.85552,4.36766,0.0,0.0,0.0,05.08.22 06:52:41
Position 13,128.0,0.0,0,50.85554,4.36763,0.0,0.0,0.0,05.08.22 06:52:44
Position 14,127.0,0.0,0,50.85555,4.36762,0.0,0.0,0.0,05.08.22 06:52:47
Position 15,126.0,0.0,0,50.85557,4.36756,0.0,0.0,0.0,05.08.22 06:52:50
Position 16,125.0,0.0,0,50.85558,4.36747,0.0,0.0,0.0,05.08.22 06:52:53
Position 17,125.0,0.0,0,50.8556,4.36738,0.0,0.0,0.0,05.08.22 06:52:56
Position 18,124.0,0.0,0,50.85562,4.36729,0.0,0.0,0.0,05.08.22 06:52:59
Position 19,122.0,0.0,0,50.85565,4.36726,0.0,0.0,0.0,05.08.22 06:53:02
Position 20,121.0,0.0,0,50.8557,4.36717,0.0,0.0,0.0,05.08.22 06:53:05
Position 21,121.0,0.0,0,50.85574,4.36712,0.0,0.0,0.0,05.08.22 06:53:08
Position 22,121.0,0.0,0,50.85576,4.36709,0.0,0.0,0.0,05.08.22 06:53:11
Position 23,121.0,0.0,0,50.85581,4.36709,0.0,0.0,0.0,05.08.22 06:53:14
Position 24,121.0,0.0,0,50.85584,4.36708,0.0,0.0,0.0,05.08.22 06:53:17
Position 25,121.0,0.0,0,50.85587,4.36708,0.0,0.0,0.0,05.08.22 06:53:20
Position 26,121.0,0.0,0,50.85587,4.36708,0.0,0.0,0.0,05.08.22 06:53:23
Position 27,121.0,0.0,0,50.85589,4.36707,0.0,0.0,0.0,05.08.22 06:53:26
Position 28,121.0,0.0,0,50.85587,4.36708,0.0,0.0,0.0,05.08.22 06:53:29
Position 29,122.0,0.0,0,50.85585,4.36711,0.0,0.0,0.0,05.08.22 06:53:32
Position 30,122.0,0.0,0,50.85587,4.36712,0.0,0.0,0.0,05.08.22 06:53:35
Position 31,122.0,0.0,0,50.85587,4.36712,0.0,0.0,0.0,05.08.22 06:53:38
Position 32,126.0,0.0,0,50.85587,4.36713,0.0,0.0,0.0,05.08.22 06:53:41
Position 33,127.0,0.0,0,50.85586,4.36713,0.0,0.0,0.0,05.08.22 06:53:44
Position 34,127.0,0.0,0,50.85585,4.36713,0.0,0.0,0.0,05.08.22 06:53:47
Position 35,127.0,0.0,0,50.85586,4.36714,0.0,0.0,0.0,05.08.22 06:53:50
