X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,geotracker_meta
4.36907572,50.85515011,0,0,0,146.16,2022-07-20 06:48:48.796+00,,,,,,,,,,,,,,,,,,,,,,
4.36899408,50.8552686,0,0,1,150.98,2022-07-20 06:48:50.791+00,,,,,,,,,,,,,,,,,,,,,,
4.36885107,50.85525708,0,0,2,153.99,2022-07-20 06:49:07+00,,,,,,,,,,,,,,,,,,,,,,
4.36872425,50.8553043,0,0,3,154.02,2022-07-20 06:49:11+00,,,,,,,,,,,,,,,,,,,,,,
4.36859449,50.85534727,0,0,4,154.17,2022-07-20 06:49:16+00,,,,,,,,,,,,,,,,,,,,,,
4.36851577,50.85542239,0,0,5,154.23,2022-07-20 06:49:21+00,,,,,,,,,,,,,,,,,,,,,,
4.36840131,50.85549029,0,0,6,154.11,2022-07-20 06:49:25+00,,,,,,,,,,,,,,,,,,,,,,
4.36829677,50.85555403,0,0,7,153.52,2022-07-20 06:49:30+00,,,,,,,,,,,,,,,,,,,,,,
4.3681849,50.85565749,0,0,8,152.08,2022-07-20 06:49:38+00,,,,,,,,,,,,,,,,,,,,,,
4.36807238,50.85571514,0,0,9,151.95,2022-07-20 06:49:44+00,,,,,,,,,,,,,,,,,,,,,,
4.36791854,50.85569225,0,0,10,152.1,2022-07-20 06:49:54+00,,,,,,,,,,,,,,,,,,,,,,
4.36775079,50.85570461,0,0,11,150,2022-07-20 06:50:04+00,,,,,,,,,,,,,,,,,,,,,,
4.36760693,50.85575836,0,0,12,148.6,2022-07-20 06:50:11+00,,,,,,,,,,,,,,,,,,,,,,
4.36742874,50.85579141,0,0,13,144.58,2022-07-20 06:50:17+00,,,,,,,,,,,,,,,,,,,,,,
4.36727157,50.85581623,0,0,14,143.91,2022-07-20 06:50:23+00,,,,,,,,,,,,,,,,,,,,,,
4.36707211,50.85573311,0,0,15,143.55,2022-07-20 06:50:28+00,,,,,,,,,,,,,,,,,,,,,,
4.36703418,50.8558281,0,0,16,138.35,2022-07-20 06:50:44+00,,,,,,,,,,,,,,,,,,,,,,
4.36704767,50.8557372,0,0,17,131.78,2022-07-20 06:51:11+00,,,,,,,,,,,,,,,,,,,,,,
4.36700769,50.85564323,0,0,18,131.03,2022-07-20 06:51:14+00,,,,,,,,,,,,,,,,,,,,,,
4.36689878,50.85547576,0,0,19,130.5,2022-07-20 06:51:17+00,,,,,,,,,,,,,,,,,,,,,,
4.3667705,50.85530709,0,0,20,129.71,2022-07-20 06:51:20+00,,,,,,,,,,,,,,,,,,,,,,
4.36670457,50.85519805,0,0,21,129.89,2022-07-20 06:51:22+00,,,,,,,,,,,,,,,,,,,,,,
4.36664705,50.85509875,0,0,22,130.41,2022-07-20 06:51:24+00,,,,,,,,,,,,,,,,,,,,,,
4.36658494,50.8549591,0,0,23,131.22,2022-07-20 06:51:26+00,,,,,,,,,,,,,,,,,,,,,,
4.36649982,50.85482895,0,0,24,131.65,2022-07-20 06:51:28+00,,,,,,,,,,,,,,,,,,,,,,
4.36638893,50.8547151,0,0,25,132.76,2022-07-20 06:51:30+00,,,,,,,,,,,,,,,,,,,,,,
4.36632182,50.8546041,0,0,26,132.94,2022-07-20 06:51:32+00,,,,,,,,,,,,,,,,,,,,,,
4.36623273,50.85447561,0,0,27,131.99,2022-07-20 06:51:34+00,,,,,,,,,,,,,,,,,,,,,,
4.36615703,50.85432294,0,0,28,131.17,2022-07-20 06:51:36+00,,,,,,,,,,,,,,,,,,,,,,
4.36608144,50.85420788,0,0,29,129.49,2022-07-20 06:51:38+00,,,,,,,,,,,,,,,,,,,,,,
4.3660218,50.85410541,0,0,30,127.41,2022-07-20 06:51:40+00,,,,,,,,,,,,,,,,,,,,,,
4.36597242,50.85401742,0,0,31,124.4,2022-07-20 06:51:42+00,,,,,,,,,,,,,,,,,,,,,,
4.3659273,50.85392434,0,0,32,121.61,2022-07-20 06:51:44+00,,,,,,,,,,,,,,,,,,,,,,
4.36587702,50.85383553,0,0,33,119.76,2022-07-20 06:51:46+00,,,,,,,,,,,,,,,,,,,,,,
4.36583525,50.85374629,0,0,34,118,2022-07-20 06:51:48+00,,,,,,,,,,,,,,,,,,,,,,
4.36579086,50.85363427,0,0,35,115.53,2022-07-20 06:51:51+00,,,,,,,,,,,,,,,,,,,,,,
4.36593602,50.85360399,0,0,36,109.52,2022-07-20 06:51:59+00,,,,,,,,,,,,,,,,,,,,,,
4.36600724,50.85351415,0,0,37,104.16,2022-07-20 06:53:35+00,,,,,,,,,,,,,,,,,,,,,,
