X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,geotracker_meta
4.36951866,50.85583267,0,0,0,175.73,2022-07-28 13:34:00.999+00,,,,,,,,,,,,,,,,,,,,,,
4.36961955,50.85571678,0,0,1,170.94,2022-07-28 13:34:12.999+00,,,,,,,,,,,,,,,,,,,,,,
4.36982334,50.85571159,0,0,2,157.03,2022-07-28 13:34:16.999+00,,,,,,,,,,,,,,,,,,,,,,
4.36997769,50.85571426,0,0,3,146.65,2022-07-28 13:34:19.999+00,,,,,,,,,,,,,,,,,,,,,,
4.37012706,50.85574903,0,0,4,145.66,2022-07-28 13:34:24.999+00,,,,,,,,,,,,,,,,,,,,,,
4.37029266,50.85575094,0,0,5,144.52,2022-07-28 13:34:30.999+00,,,,,,,,,,,,,,,,,,,,,,
4.37044339,50.85579102,0,0,6,143.93,2022-07-28 13:34:34.999+00,,,,,,,,,,,,,,,,,,,,,,
4.37058451,50.85583482,0,0,7,142.27,2022-07-28 13:34:42.999+00,,,,,,,,,,,,,,,,,,,,,,
4.37070677,50.85588827,0,0,8,140.29,2022-07-28 13:34:49.999+00,,,,,,,,,,,,,,,,,,,,,,
4.37084818,50.85589831,0,0,9,136.95,2022-07-28 13:35:04.999+00,,,,,,,,,,,,,,,,,,,,,,
4.37102588,50.85583441,0,0,10,136.29,2022-07-28 13:35:09.999+00,,,,,,,,,,,,,,,,,,,,,,
4.37114592,50.85578308,0,0,11,136.05,2022-07-28 13:35:11.999+00,,,,,,,,,,,,,,,,,,,,,,
4.37129125,50.85572425,0,0,12,135.36,2022-07-28 13:35:15.999+00,,,,,,,,,,,,,,,,,,,,,,
4.37142101,50.85567625,0,0,13,134.34,2022-07-28 13:35:19.999+00,,,,,,,,,,,,,,,,,,,,,,
4.37153846,50.85561078,0,0,14,133.41,2022-07-28 13:35:22.999+00,,,,,,,,,,,,,,,,,,,,,,
4.37165865,50.8555462,0,0,15,131.78,2022-07-28 13:35:27.999+00,,,,,,,,,,,,,,,,,,,,,,
4.37177557,50.85548314,0,0,16,129.62,2022-07-28 13:35:34.999+00,,,,,,,,,,,,,,,,,,,,,,
4.37190067,50.85543925,0,0,17,127.46,2022-07-28 13:35:41.999+00,,,,,,,,,,,,,,,,,,,,,,
4.37205199,50.85540248,0,0,18,124.91,2022-07-28 13:35:49.999+00,,,,,,,,,,,,,,,,,,,,,,
4.37217712,50.85534196,0,0,19,123.44,2022-07-28 13:35:56.999+00,,,,,,,,,,,,,,,,,,,,,,
4.37231144,50.85529594,0,0,20,122.38,2022-07-28 13:36:01.999+00,,,,,,,,,,,,,,,,,,,,,,
4.37245518,50.85525037,0,0,21,120.78,2022-07-28 13:36:07.999+00,,,,,,,,,,,,,,,,,,,,,,
4.37259215,50.85519534,0,0,22,119.11,2022-07-28 13:36:14.999+00,,,,,,,,,,,,,,,,,,,,,,
